======================
📄 DUMP FILAS LEÍDAS
======================
Fila #0 → REF=10107 | PADRE=- | ASOC=10107-10106-94073 | DESC=Rejilla Reposa Patas de Plástico para c
Fila #123 → REF=30012 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero aves 35L C/ Patas (En caja 4 un
Fila #124 → REF=30013 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero Aves 45L C/Patas (En caja 4 uni
Fila #125 → REF=30014 | PADRE=- | ASOC=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | DESC=Comedero Aves 35L C/Patas (En caja 4 uni
Fila #126 → REF=30015 | PADRE=- | ASOC=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | DESC=Comedero Aves 45L C/Patas (En caja 4 Uni
Fila #127 → REF=30016 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero Aves 35L C/Patas (A granel)
Fila #128 → REF=30017 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero Aves 45L C/Patas (A granel)
Fila #129 → REF=30018 | PADRE=- | ASOC=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | DESC=Comedero Aves 35L C/Patas (A granel)
Fila #130 → REF=30019 | PADRE=- | ASOC=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | DESC=Comedero Aves 45L C/Patas (A granel)
Fila #131 → REF=30020 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero + Comedero Aves 35L C/Patas (Pa
Fila #132 → REF=30021 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero + Comedero Aves 45L C/Patas (Pa
Fila #133 → REF=30022 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 8L Royal Rojo
Fila #134 → REF=30023 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 8L Royal Azul
Fila #135 → REF=30024 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 12L Royal Rojo
Fila #136 → REF=30025 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 12L Royal Azul
Fila #137 → REF=30026 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 2ª edad 8L Royal Rojo
Fila #138 → REF=30027 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 2ª edad 8L Royal Azul
Fila #139 → REF=30028 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 2ª edad 12L Royal Rojo
Fila #140 → REF=30029 | PADRE=- | ASOC=30243-30335-30223-30244-30233-30078-30301-30224-30300-30225-30429-30226-30022-30023-30024-30025-30227-30228-30229-30616-30617-30618-30026-30027-30028-30029-94031 | DESC=Bebedero pollos 2ª edad 12L Royal Azul
Fila #141 → REF=30030 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero aves 35L C/Patas (En caja 1 uni
Fila #142 → REF=30031 | PADRE=- | ASOC=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | DESC=Bebedero Aves 45L C/Patas (En caja 1 uni
Fila #143 → REF=30032 | PADRE=- | ASOC=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | DESC=Comedero Aves 35L C/Patas (En caja 1 uni
Fila #144 → REF=30033 | PADRE=- | ASOC=30274-30275-30276-30170-30166-30173-30172-30168-30174-30176-30178-30014-30032-30020-30018-30015-30033-30021-30019-94010 | DESC=Comedero Aves 45L C/Patas (En caja 1 Uni
Fila #145 → REF=30034 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero / Tolva Patos Safe-Feed 6kg - 1
Fila #146 → REF=30035 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero / Tolva Patos Safe-Feed 12kg - 
Fila #147 → REF=30036 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero / Tolva Patos Safe-Feed 20kg - 
Fila #148 → REF=30037 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero / Tolva Patos Safe-Feed 30kg - 
Fila #149 → REF=30038 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero / Tolva Patos Safe-Feed 40kg - 
Fila #150 → REF=30039 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero / Tolva Patos Safe-Feed 50kg - 
Fila #151 → REF=30040 | PADRE=- | ASOC=30040-30041-94032 | DESC=Gallinero movil 1.5x1.8MT Country
Fila #152 → REF=30041 | PADRE=- | ASOC=30040-30041-94032 | DESC=Gallinero Fijo 1.5x1.8MT Country
Fila #153 → REF=30043 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero Tolva Patos Safe-Feed 6kg - 10L
Fila #154 → REF=30044 | PADRE=- | ASOC=30043-30043-30072-30073-30074-30075-30034-30035-30036-30037-30038-30039-94045 | DESC=Comedero Tolva Patos Safe-Feed 12kg - 20
Fila #155 → REF=30046 | PADRE=- | ASOC=30046-30047-94043 | DESC=Caseta Patos C/Nido 64x44xh44CM Fenolico
Fila #156 → REF=30047 | PADRE=- | ASOC=30046-30047-94043 | DESC=Caseta Patos C/Nido 69x69xh44CM Fenolico
Fila #157 → REF=30048 | PADRE=- | ASOC=- | DESC=Bebedero Automatico 2MT Patos
Fila #158 → REF=30049 | PADRE=- | ASOC=30051-30050-30049-94044 | DESC=Tolva Galvanizada 500kg Patos
Fila #159 → REF=30050 | PADRE=- | ASOC=30051-30050-30049-94044 | DESC=Tolva Galvanizada 100kg Patos
Fila #160 → REF=30051 | PADRE=- | ASOC=30051-30050-30049-94044 | DESC=Tolva exterior 50kg Patos
