======================
📘 INICIO DE LECTURA EXCEL
======================
📄 Fila 0 → ref=10107 | desc=Rejilla Reposa Patas de Plástico para conejos | padre=- | asociados=10107-10106-94073 | vacía=no
📄 Fila 112 → ref=11484 | desc=Jaula Milán con patas y sin nido | padre=- | asociados=11484-11485-11482-11483-94083 | vacía=no
📄 Fila 113 → ref=11485 | desc=Jaula Marsella con patas y sin nido | padre=- | asociados=11484-11485-11482-11483-94083 | vacía=no
📄 Fila 114 → ref=11653 | desc=Cubeta grande C-12 con sandwich | padre=- | asociados=10140-10109-11737-10138-11653-94084 | vacía=no
📄 Fila 115 → ref=11737 | desc=Cubeta Bruselas baja | padre=- | asociados=10140-10109-11737-10138-11653-94084 | vacía=no
📄 Fila 116 → ref=30003 | desc=Cruz de plástico - 10/10 mm. | padre=- | asociados=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | vacía=no
📄 Fila 117 → ref=30004 | desc=Derivación en T - 7/7 mm. | padre=- | asociados=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | vacía=no
📄 Fila 118 → ref=30007 | desc=Boca plast (a granel) Comed aves ant-desperdicio | padre=- | asociados=30057-30007-94156 | vacía=no
📄 Fila 119 → ref=30008 | desc=Ponedero Colectavi Central Principio C/Expuls Aves | padre=- | asociados=30965-30846-30847-30009-30008-94019 | vacía=no
📄 Fila 120 → ref=30009 | desc=Ponedero Colectavi Central Ampliación C/Expuls Aves | padre=- | asociados=30965-30846-30847-30009-30008-94019 | vacía=no
📄 Fila 121 → ref=30010 | desc=Sistema expulsión aves Colectavi Central- Principio | padre=- | asociados=- | vacía=no
📄 Fila 122 → ref=30011 | desc=Sistema expulsión aves Colectavi Central- Ampliacion | padre=- | asociados=- | vacía=no
📄 Fila 123 → ref=30012 | desc=Bebedero aves 35L C/ Patas (En caja 4 unidades) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
📄 Fila 124 → ref=30013 | desc=Bebedero Aves 45L C/Patas (En caja 4 unidades) | padre=- | asociados=30167-30169-30165-30171-30173-30174-30175-30177-30012-30013-30016-30017-30020-30021-30030-30031-30271-30272-30273-94003 | vacía=no
