======================
📦 DUMP ARRAY ORDENADO
======================
### Grupo parent: 215 elementos ###
   → REF=94153 | PADRE=- | DESC=Válvulas Bebederos Logis
   → REF=94154 | PADRE=- | DESC=Bandeja colectora Penta
   → REF=94155 | PADRE=- | DESC=Cestas de Conejos
   → REF=94156 | PADRE=- | DESC=Bocas de plástico
   → REF=94157 | PADRE=- | DESC=Comedero para batería de ponedoras
   → REF=94158 | PADRE=- | DESC=Anillo anti-desperdicio para tolva
   → REF=94159 | PADRE=- | DESC=Bebederos para aves
   → REF=94160 | PADRE=- | DESC=Aseladero para ponederos
   → REF=94161 | PADRE=- | DESC=Transportín de madera para gallos
   → REF=94162 | PADRE=- | DESC=Soportes de sal
   → REF=94163 | PADRE=- | DESC=Comedero automático para caballos Equim
   → REF=94164 | PADRE=- | DESC=Forrajera para caballos
   → REF=94165 | PADRE=- | DESC=Bebedero Empujador Caballos
   → REF=94166 | PADRE=- | DESC=Porta-Montura Plegable
   → REF=94167 | PADRE=- | DESC=Bebederos automático para perdices
   → REF=94168 | PADRE=- | DESC=Redes Sacaderas
   → REF=94169 | PADRE=- | DESC=Jaula Perdices
   → REF=94170 | PADRE=- | DESC=Jaula Perdices De Reclamo
   → REF=94171 | PADRE=- | DESC=Jaula de cría para perdices
   → REF=94173 | PADRE=- | DESC=Portacebos
   → REF=94172 | PADRE=- | DESC=Ratoneras Captura
   → REF=94174 | PADRE=- | DESC=Bebederos para conejos enanos
   → REF=94175 | PADRE=- | DESC=Tolva Starter Lechones
   → REF=94176 | PADRE=- | DESC=Tolvas Cebo
   → REF=94177 | PADRE=- | DESC=Forrajeras para ovejas con patas
   → REF=94178 | PADRE=- | DESC=Tapa para forrajera de ovejas
   → REF=94179 | PADRE=- | DESC=Paridera Ovejas
   → REF=94180 | PADRE=- | DESC=Vallas teleras
   → REF=94181 | PADRE=- | DESC=Nido Madera
   → REF=94182 | PADRE=- | DESC=Pajarera
   → REF=94183 | PADRE=- | DESC=Pajarera Mod. Moncayo
   → REF=94184 | PADRE=- | DESC=Jaula Pájaros
   → REF=94185 | PADRE=- | DESC=Soporte con ruedas para jaulas de canari
   → REF=94186 | PADRE=- | DESC=Rejilla de suelo para jaula de pájaros
   → REF=94187 | PADRE=- | DESC=Bañeras  Pájaros
   → REF=94188 | PADRE=- | DESC=Bebederos de tubo
   → REF=98189 | PADRE=- | DESC=Bebederos automáticos
   → REF=94190 | PADRE=- | DESC=Comedero giratorio para loros
   → REF=94191 | PADRE=- | DESC=Bizcochera
   → REF=94192 | PADRE=- | DESC=Bebedero/Comederos para Palomas
   → REF=94193 | PADRE=- | DESC=Comedero/Bebedero Palomas
   → REF=94194 | PADRE=- | DESC=Anillas de plástico para palomas
   → REF=94195 | PADRE=- | DESC=Puerta trampa para palomas
   → REF=94196 | PADRE=- | DESC=Juego Patas Jaula Exposición Palomas
   → REF=94197 | PADRE=- | DESC=Batería recargable
   → REF=94198 | PADRE=- | DESC=Pilar Alcalina
   → REF=94199 | PADRE=- | DESC=Mallas eléctricas
   → REF=94200 | PADRE=- | DESC=Postes
   → REF=94201 | PADRE=- | DESC=Automatismo Dosidog
   → REF=94202 | PADRE=- | DESC=Paridera para perros
   → REF=94203 | PADRE=- | DESC=Camas de plástico para perros
   → REF=90204 | PADRE=- | DESC=Colchoneta para cama de perro
   → REF=94205 | PADRE=- | DESC=Soporte para bebedero de perros en fenó
   → REF=94206 | PADRE=- | DESC=Transportines
   → REF=94207 | PADRE=- | DESC=Transportines para perros y gatos
   → REF=94208 | PADRE=- | DESC=Tubería flexible de goma
